country,year,Current account balance (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),GDP (current US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita growth (annual %),GNI per capita (constant 2015 US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)",Poverty headcount ratio at national poverty lines (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Brazil,2011 [YR2011],-3.19461831898174,10.8244030719312,23.0927493341306,66.0828487335206,1362.56078162648,11.5825126782808,2616156223977.47,108.31859221882,3.97442307944702,3.01339627261974,8700.88162358872,12.3518924970444,6.6364496221309,65.681,73.343,26.9885079767917,7.578
Brazil,2012 [YR2012],-3.75941611656142,9.84814854423086,23.8203129194769,66.331537426932,1408.85252774701,11.8775390694448,2465227803011.57,116.922475499848,1.92117598576537,1.00765403282705,8796.59322861648,13.2367345392086,5.40349914036997,63.787,73.552,26.9885079767917,7.251
Brazil,2013 [YR2013],-3.57422079596048,10.0260699461921,23.6555397742863,66.3183924637299,1456.10904746834,11.742230645138,2472819535742.73,125.696998127234,3.00482266944432,2.11425645194304,9085.10734359635,14.0437266803948,6.20431066640101,63.723,73.918,26.9885079767917,7.071
Brazil,2014 [YR2014],-4.4988303801852,9.30650215835719,23.5736405926878,67.119857248955,1490.42584610757,11.0119428190539,2456043727198.85,135.560076726606,0.503955740242247,-0.354514802264433,9010.28789573086,13.6734629940752,6.32904015516139,63.515,74.306,26.9885079767917,6.755
Brazil,2015 [YR2015],-3.51839166782255,9.33239287112637,22.8198132696499,67.8477949367139,26.9885079767917,12.9001914177405,1802212206904.68,145.816789378239,-3.54576339269425,-4.35831717939337,8617.94230456151,14.0534345182709,9.02990102416136,63.806,74.332,26.9885079767917,8.538
Brazil,2016 [YR2016],-1.70014397585458,9.7979305619873,21.3696210241081,68.8324495127488,26.9885079767917,12.4666790443888,1795693482652.52,157.633205078013,-3.27591690782192,-4.05742300240568,8248.49167176426,12.0670030360511,8.73914352329393,63.876,74.442,26.9885079767917,11.58
Brazil,2017 [YR2017],-1.22787616777375,9.19142927461729,20.9444737398028,69.864098080597,26.9885079767917,12.5189678700669,2063514977334.32,163.4205261562,1.32286905404399,0.523296588574212,8311.78761786494,11.8007665046081,3.44637335032669,64.183,74.827,26.9885079767917,12.792
Brazil,2018 [YR2018],-2.85841589318322,9.05694131668645,20.5300479185198,70.4130129159648,26.9885079767917,14.6349994952986,1916933898038.36,170.763883603534,1.783666761634,0.978938492697395,8316.00281106791,14.2412038806757,3.66485028376729,64.227,75.109,26.9885079767917,12.33
Brazil,2019 [YR2019],-3.63113793678879,8.87727711966754,20.4026286210366,70.7200953107712,26.9885079767917,14.1229191903622,1873288205186.45,177.977392101691,1.22077782360842,0.448280407148658,8362.50347435478,14.7673386775793,3.73297621216894,64.672,75.338,26.9885079767917,11.936
Brazil,2020 [YR2020],-1.91094194896304,9.31407124144575,20.25647348643,70.4294450233425,26.9885079767917,16.4535520107044,1476107231194.11,189.496978107014,-3.2767587964736,-3.91800417154039,8083.16259571757,15.8485265356365,3.21176803803376,60.288,74.009,26.9885079767917,13.697
Brazil,2021 [YR2021],-2.77483982746368,9.49560849139376,20.7334770601716,69.7709155343129,26.9885079767917,19.1094303673866,1670647399034.67,214.221162145944,4.76260437908608,4.21030025353157,8332.38829069051,18.5469003894967,8.30165975585673,62.269,72.75,26.9885079767917,13.159
Brazil,2022 [YR2022],-2.47206776377408,8.73144095316781,20.4917034779706,70.7768565818982,26.9885079767917,19.6307650034371,1951923942083.32,232.580519745323,3.01669435393015,2.54433285377806,8562.09496338861,19.1853009729027,9.28010608956873,63.347,73.425,26.9885079767917,9.231
Brazil,2023 [YR2023],-1.41826026674981,26.9885079767917,26.9885079767917,26.9885079767917,26.9885079767917,18.1102794216442,2173665655937.27,243.416433970024,2.90848048667777,2.38117772428899,8765.39172521663,15.7436671722105,4.59356282283204,62.754,26.9885079767917,26.9885079767917,7.947
Canada,2000 [YR2000],2.48322832733606,2.51550830718723,23.2941717724786,74.1903133385593,8265.07992477285,44.209235821106,744773415931.587,74.3579914841635,5.13853918593026,4.16394850028571,36256.8431044323,38.5561220292153,2.71943995691976,65.762,79.1668292682927,26.9885079767917,6.829
Canada,2001 [YR2001],2.13236979231819,2.16014075650182,23.0628245986799,74.7770216402263,8056.361631554,42.0399550909321,738981792355.372,75.528145920403,1.87509813216803,0.774519432401604,36281.9349612092,36.3042633034376,2.52512013979906,65.907,79.3980487804878,26.9885079767917,7.219
Canada,2002 [YR2002],1.64503032397307,2.11688334622641,23.2298609084546,74.6532557453189,7994.10370781473,40.0586585930818,760649334098.005,76.4779300706625,2.9992553495694,1.88796484588035,36687.8279235461,35.6483734848415,2.25839440940855,66.862,79.5307317073171,26.9885079767917,7.665
Canada,2003 [YR2003],1.16498813828327,2.10705300136028,22.9734168597968,74.9195239388382,8341.75622433413,36.8659851985508,895540646634.787,78.9632616663382,1.80638513484521,0.895018592714791,37699.4756047673,32.9741094185099,2.75856321360112,67.561,79.7151219512195,26.9885079767917,7.574
Canada,2004 [YR2004],2.26315076447856,2.02316752251052,23.0487901170324,74.9280423604571,8456.03625708374,37.3277713060483,1026690238278.25,81.5381540552542,3.09236383456562,2.13581559364609,39183.2382525126,32.864648684908,1.85725871857256,67.487,79.9921951219512,26.9885079767917,7.185
Canada,2005 [YR2005],1.86965618692434,2.12205349747806,22.6904978612539,75.187442617225,8422.3010010442,36.8567073235071,1173108598778.68,84.0794035607059,3.21045435651203,2.23757658237358,40574.4733781734,32.9024256932286,2.21355203439767,67.142,80.1126829268293,26.9885079767917,6.758
Canada,2006 [YR2006],1.36365624553912,2.11200086047843,22.1061931059389,75.7818119695542,8239.94156431421,35.4024592168513,1319264809590.97,86.240389416041,2.6379438004107,1.602901526748,41530.7538032512,32.6497052601475,2.00202539534161,67.192,80.5436585365854,26.9885079767917,6.484
Canada,2007 [YR2007],0.752359497275174,2.00090541489277,21.6658949425158,76.3331996425915,8213.42425523321,34.229555163977,1468820407783.26,89.0867928324805,2.04990461109004,1.06414485183241,42411.5630821464,32.0538645842577,2.13838399266837,67.46,80.5436585365854,26.9885079767917,6.156
Canada,2008 [YR2008],0.204634001322009,1.94085661831964,21.4598972700744,76.5992575561796,8194.83640445007,34.3950055520687,1552989690721.65,92.646982994056,0.995406309993598,-0.0933427837335614,42985.5472788669,32.6286028098296,2.37027067444299,67.596,80.7246341463415,26.9885079767917,6.284
Canada,2009 [YR2009],-2.96628242314574,1.95407647866701,20.285225596963,77.760703745063,7796.84894491296,28.5158343165743,1374625142157.29,90.4930128371262,-2.91508623949733,-4.02008812114738,39884.1295864445,29.9585575059154,0.299466803009299,67.276,81.0660975609756,26.9885079767917,8.46
Canada,2010 [YR2010],-3.59618567149688,1.80749588195158,20.1505184031391,78.0419857149093,7788.32877304651,29.1673819330319,1617343367486.26,93.0708309767074,3.09080637403602,1.95144747592553,41196.8875294404,31.0407395714164,1.77687154092627,67.052,81.3221951219512,26.9885079767917,8.178
Canada,2011 [YR2011],-2.77400602599856,1.78791916996377,20.2853836490512,77.926697180985,7911.57924054247,30.6783919173107,1793326630174.52,96.090472369214,3.13719438973661,2.13607713967458,42531.0258092473,31.8203468535221,2.91213508872351,66.906,81.4826829268293,26.9885079767917,7.637
Canada,2012 [YR2012],-3.53224767688727,1.75287861200801,20.4625882943372,77.7845330936548,7733.59589288227,30.3530255225878,1828366481521.6,97.2612806831953,1.75566132540601,0.658841990369126,42668.8315742277,32.2425234169127,1.51567823124517,66.844,81.6636585365854,26.9885079767917,7.392
Canada,2013 [YR2013],-3.14687545091254,1.77488160133804,20.3270942411845,77.8980241574775,7744.15883108437,30.3319386683867,1846597421834.98,98.9543446636502,2.32581357393478,1.25359012904651,43403.7932799346,31.8991362329537,0.938291897815317,66.82,81.7448780487805,26.9885079767917,7.143
Canada,2014 [YR2014],-2.31892137730875,1.71402994399859,20.1770573267297,78.1089072332255,7898.60652740219,31.7365758733408,1805749878439.94,100.87524539044,2.87346677184995,1.8484095174269,43953.0692396862,32.6420862831515,1.90663590717861,66.311,81.7843902439025,26.9885079767917,7.023
Canada,2015 [YR2015],-3.51398716666024,1.64341270438564,19.9230612336162,78.4335206084423,7631.00172981006,31.8499609634443,1556508816217.14,100.0,0.649970993709132,-0.112369172949158,42926.3435664028,34.3149411035338,1.12524136094277,66.178,81.8156097560976,26.9885079767917,6.945
Canada,2016 [YR2016],-3.093111446907,1.94449361094879,19.4780903564972,78.577416032554,26.9885079767917,31.5025724093362,1527994741907.43,100.716978140661,1.03855093491798,-0.0982963525159875,42854.5745236394,33.8611121122194,1.42875954701085,65.923,81.9248780487805,26.9885079767917,7.038
